City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Palora,EC,77.11,light rain,-1.7,-77.9333,Rancho grande
375,Bahia De Caraquez,EC,79.68,broken clouds,-0.6,-80.4167,Saiananda Eco-Hotel
379,Laguna,US,72.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
382,Waingapu,ID,78.76,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
387,Matara,LK,79.65,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
388,Rio Claro,BR,76.01,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
389,Kango,GA,75.97,light rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
390,Santa Cruz,BO,83.66,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
392,Kilindoni,TZ,81.88,broken clouds,-7.9139,39.6668,Bustani B&B
393,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
398,Batuan,PH,74.37,broken clouds,9.7808,124.1484,Villa Cresenciana
400,Kalmunai,LK,82.15,overcast clouds,7.4167,81.8167,VS Villa
401,Patiya,BD,77.56,clear sky,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
403,Bella Union,UY,70.63,overcast clouds,-30.2752,-57.6007,Saville Free Shop
404,Bandarbeyla,SO,82.51,few clouds,9.4942,50.8122,JABIR HOTEL
405,Rocha,UY,71.89,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
407,Morgan City,US,88.02,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
409,Villa Bruzual,VE,81.48,overcast clouds,9.3328,-69.1208,hotel italia
410,Asfi,MA,70.54,broken clouds,32.2994,-9.2372,Hôtel Abda
414,Port Keats,AU,73.09,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
415,Seydi,TM,88.45,broken clouds,39.4816,62.9137,Seydi oteli
417,Nurota,UZ,78.33,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
419,San Felipe,VE,83.95,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
421,Kavaratti,IN,84.76,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
423,Calatrava,PH,80.74,few clouds,10.595,123.4838,Cassandras Beach
